Count,Anchor Text,Target URL,Tier
5,Nova Southeastern University Online Master’s in Teaching & Learning,http://teacher-degrees.com/the-mindful-revolution-in-schools/,Budget
8,Norwich University Online,http://mba.norwich.edu/supply-chain-management/,Budget
13,Northeastern University Online,http://onlinemba.neu.edu/future-of-healthcare/,Budget
16,UC Nursing Online,http://nursingonline.uc.edu/healthcare-to-hiring-infographic/,Budget
15,The George Washington University Online,http://publicrelationsmasters.online.gwu.edu/resources/measuring-online-pr-effectiveness/,Budget
20,The George Washington University Online Healthcare MBA Program,http://healthcaremba.gwu.edu/disruptive-innovation-in-healthcare/,Budget
17,Northeastern University Online,http://onlinemba.neu.edu/trends-that-are-changing-the-way-brands-market-to-consumers/,Budget
8,Northeastern University Online,http://onlinemba.neu.edu/evolution-of-sustainability-infographic/,Budget
11,University of Arizona’s RN-MSN Program,http://msnonline.arizona.edu/resources/infographics-2/chronicconditions-cvd/,Budget
16,Maryville University’s Nursing Program,http://onlinenursingdegrees.maryville.edu/resource/infographics/the-role-of-nurse-leadership-in-todays-health-care-industry/,Budget
15,Maryville University’s Nursing Program,http://onlinenursingdegrees.maryville.edu/resource/infographics/how-baby-boomers-will-impact-the-nursing-shortage/,Budget
8,University of Cincinnati Online,http://healthadministration.uc.edu/news-and-resources/infographics/healthcare-legal-policies-ethics-infographic/,Budget
10,USC Geographic Information Science & Technology,http://gis.usc.edu/msp-resources/infographics/the-search-for-malaysia-airlines-flight-mh370/,Budget
17,University of Alabama at Birmingham Online,http://businessdegrees.uab.edu/resources/infographic/the-it-skills-gap/,Budget
12,USC Library Science Degree,http://librarysciencedegree.usc.edu/resources/infographics/the-science-behind-search/,Budget
8,Adelphi Sports Management Online,http://sportsmanagement.adelphi.edu/resources/infographics/the-power-of-instagram-vine-in-the-sports-business-landscape/,Budget
12,University of Alabama at Birmingham Online,http://businessdegrees.uab.edu/resources/infographic/big-data-for-small-businesses/,Budget
5,Case Western Social Work Degree,http://socialworkdegree.case.edu/resources/infographic/technology-is-revolutionizing-social-work/,Budget
14,PSU Criminal Justice,http://online.ccj.pdx.edu/resources/infographics/6-careers-that-changed-crime-analysis-infographic/,Budget
11,University of Southern California Online,http://publicadmin.usc.edu/resources/infographics/5-ways-public-policy-has-shaped-the-justice-system/,Budget
10,USC Library Science,http://librarysciencedegree.usc.edu/resources/infographics/library-industry-outlook/,Budget
5,Ohio University Online,http://onlinemba.ohio.edu/resources/infographics/alibaba-goes-public/,Budget
5,Abilene Christian University Conflict Resolution,http://conflictres.acu.edu/mediating-corporate-governance/,Budget
10,NEC Online Degrees,http://onlinedegrees.nec.edu/customer-lifecycle/,Budget
